
,      ,Training,, ,   ,Validation,,,  ,,Training,,   ,    ,   ,Validation,, ,    ,   ,,Training,,   ,    ,   ,Validation,, ,    ,   ,
,      ,ALL , ,    ,   ,ALL , ,    ,   ,,Td  ,    ,   ,    ,   ,Td  ,    ,   ,    ,   ,,RH  ,    ,   ,    ,   ,RH  ,    ,   ,    ,   ,
,Neuron,EVar,R,RMSE,MAE,EVar,R,RMSE,MAE,,EVar,RMSE,MAE,Mean,Std,EVar,RMSE,MAE,Mean,Std,,EVar,RMSE,MAE,Mean,Std,EVar,RMSE,MAE,Mean,Std,
,100,54.32%,72.52%,6.46,4.09,55.38%,72.99%,6.46,4.15,,80.19%,1.12,0.8,-0.22,1.1,80.75%,1.15,0.83,-0.28,1.12,,28.46%,9.07,7.38,-1.72,8.91,30.01%,9.07,7.47,-1.84,8.88,
,150,58.18%,76.08%,6.23,3.9,59.47%,76.84%,6.21,3.94,,85.06%,0.96,0.68,-0.08,0.96,85.9%,0.96,0.69,-0.12,0.96,,31.31%,8.76,7.12,-0.74,8.73,33.04%,8.73,7.18,-0.85,8.68,
,200,55.91%,74.31%,6.43,4.13,56.9%,74.99%,6.42,4.15,,84.39%,0.99,0.7,-0.15,0.98,85.34%,0.99,0.7,-0.19,0.98,,27.42%,9.03,7.56,1.06,8.97,28.47%,9.02,7.6,0.93,8.98,
,250,58.31%,75.7%,6.25,3.9,59.54%,76.36%,6.24,3.94,,84.78%,0.98,0.71,-0.19,0.97,85.76%,0.99,0.71,-0.23,0.96,,31.83%,8.78,7.09,-1.24,8.7,33.32%,8.77,7.17,-1.35,8.67,
,300,58.87%,75.45%,6.35,4.1,60.15%,76.45%,6.3,4.08,,85.82%,0.93,0.63,-0.0,0.93,86.74%,0.93,0.63,-0.04,0.93,,31.92%,8.93,7.57,2.07,8.69,33.57%,8.87,7.54,1.95,8.65,
,350,56.02%,74.64%,6.4,4.02,57.3%,75.44%,6.38,4.05,,84.59%,0.97,0.69,0.07,0.97,85.38%,0.97,0.69,0.02,0.97,,27.45%,9.0,7.35,-0.79,8.97,29.22%,8.98,7.4,-0.92,8.93,
,400,57.34%,74.72%,6.3,4.08,58.48%,75.74%,6.27,4.09,,84.01%,1.05,0.78,0.34,0.99,85.0%,1.03,0.76,0.29,0.99,,30.66%,8.84,7.39,1.14,8.77,31.96%,8.81,7.41,1.02,8.75,
,450,55.86%,73.82%,6.47,4.02,56.93%,74.51%,6.47,4.06,,83.72%,1.0,0.73,0.11,1.0,84.64%,1.0,0.72,0.05,1.0,,28.0%,9.09,7.31,-1.68,8.94,29.23%,9.1,7.41,-1.77,8.93,
,500,55.39%,74.17%,6.43,4.07,57.0%,75.14%,6.39,4.09,,83.97%,1.0,0.72,-0.12,0.99,85.05%,1.0,0.72,-0.16,0.99,,26.81%,9.04,7.42,-0.76,9.01,28.95%,8.99,7.45,-0.87,8.94,
,550,57.96%,75.99%,6.25,3.92,59.12%,76.69%,6.24,3.95,,85.16%,0.95,0.66,0.0,0.95,86.08%,0.95,0.67,-0.04,0.95,,30.75%,8.79,7.17,-0.69,8.76,32.16%,8.78,7.23,-0.81,8.74,
,600,58.08%,75.92%,6.25,3.96,59.55%,76.87%,6.21,3.96,,85.25%,0.96,0.66,-0.13,0.95,86.33%,0.96,0.66,-0.18,0.94,,30.92%,8.79,7.26,0.83,8.75,32.78%,8.73,7.25,0.71,8.7,
,650,51.9%,71.3%,6.75,4.29,53.63%,72.33%,6.71,4.3,,84.29%,1.02,0.74,-0.29,0.98,85.42%,1.03,0.75,-0.33,0.97,,19.51%,9.49,7.84,-0.93,9.45,21.84%,9.44,7.84,-1.02,9.38,
,700,55.67%,72.47%,6.63,4.38,56.7%,73.53%,6.61,4.37,,84.9%,1.01,0.75,0.3,0.96,85.77%,1.0,0.74,0.26,0.96,,26.44%,9.32,8.0,2.31,9.03,27.62%,9.29,8.0,2.18,9.03,
,750,59.81%,76.98%,6.16,3.9,61.03%,77.86%,6.12,3.9,,86.39%,0.92,0.62,0.08,0.91,87.14%,0.91,0.62,0.04,0.91,,33.23%,8.67,7.17,1.05,8.61,34.92%,8.61,7.17,0.94,8.56,
,800,55.65%,74.36%,6.41,4.07,57.06%,75.19%,6.38,4.09,,84.39%,1.0,0.73,-0.19,0.98,85.34%,1.0,0.74,-0.24,0.98,,26.9%,9.01,7.42,-0.33,9.0,28.79%,8.97,7.44,-0.44,8.96,
,850,57.86%,75.71%,6.28,4.03,59.02%,76.61%,6.25,4.04,,85.64%,0.96,0.69,0.22,0.94,86.46%,0.95,0.69,0.18,0.94,,30.09%,8.82,7.37,0.56,8.81,31.57%,8.79,7.4,0.44,8.78,
,900,55.49%,74.03%,6.52,4.07,56.89%,74.83%,6.5,4.09,,86.01%,0.94,0.65,-0.17,0.93,86.89%,0.95,0.65,-0.21,0.92,,24.96%,9.18,7.49,-0.99,9.12,26.89%,9.14,7.52,-1.11,9.07,
,950,58.47%,76.18%,6.28,4.01,59.66%,77.02%,6.26,4.03,,86.45%,0.91,0.62,-0.01,0.91,87.51%,0.9,0.61,-0.04,0.9,,30.49%,8.84,7.41,0.98,8.78,31.8%,8.8,7.44,0.85,8.76,
,1000,54.4%,70.88%,6.63,4.21,55.91%,71.73%,6.62,4.27,,80.68%,1.15,0.86,-0.37,1.09,82.07%,1.15,0.88,-0.41,1.08,,28.13%,9.3,7.57,-2.6,8.93,29.75%,9.29,7.66,-2.68,8.89,

,Design:,['relu', 'adam', 5000, 0.0001, 'constant', True]
